company_name,description,sector,stage,geography,traction,founder_background,referral_source
PayPilot,Front young like cut news increase really couple most.,B2B SaaS,Series A,Canada,£30k MRR,Ex-Google engineer,Partner referral
DataIQ,Style small language once through begin notice happen until.,Developer Tools,Seed,UK,12 customers,Repeat founder,Website
CarbonCloud,If yourself conference subject weight loss.,LegalTech,Seed,Canada,20 enterprise pilots,Ex-Stripe engineer,Cold inbound
FinPilot,Plant include best TV who room base.,Cybersecurity,Pre-seed,Canada,20 enterprise pilots,Ex-Stripe engineer,Website
GridForge,Bag yeah through of suggest least.,HR Tech,Series B,France,£30k MRR,AI researcher from Cambridge,Partner referral
GridStack,Win compare war boy condition federal focus mean machine perhaps day phone them entire.,B2B SaaS,Series A,France,£30k MRR,Ex-Google engineer,Cold inbound
LogicCloud,Capital wish leg company paper mean stay thank organization.,HR Tech,Series A,Germany,Growing ARR,AI researcher from Cambridge,Cold inbound
PayForge,Seven happen on yeah upon down.,Enterprise AI,Pre-seed,US,Growing ARR,Ex-Stripe engineer,Cold inbound
CoreBridge,Official practice much once read president so.,Supply Chain SaaS,Series A,France,£30k MRR,Ex-Stripe engineer,Website
GridPilot,Red box executive outside ok all rest stay article real perform between bar.,LegalTech,Series B,Germany,Growing ARR,Ex-Google engineer,Cold inbound
FinStack,Go skin lawyer growth manage bank writer student prove memory explain cause produce.,HealthTech B2B,Series B,France,£30k MRR,Ex-Stripe engineer,Cold inbound
PayForge,Light fall receive all share others hard field single.,Climate SaaS,Pre-seed,Germany,Growing ARR,Ex-Stripe engineer,Partner referral
DataWorks,Happen let reach town everyone player.,Developer Tools,Series A,Netherlands,£30k MRR,Repeat founder,Partner referral
ScaleStack,Away forward special item loss standard discover.,Developer Tools,Series B,Canada,£30k MRR,Repeat founder,Partner referral
CloudStack,Size relationship two material leave determine southern difficult then.,HR Tech,Series A,US,12 customers,Former SAP product lead,Warm intro
FinBridge,Produce after argue knowledge either left hard.,LegalTech,Series B,Spain,£30k MRR,Ex-Google engineer,Website
ScaleWorks,Family including pass else also necessary music against call staff over.,HealthTech B2B,Series A,US,Growing ARR,Former SAP product lead,Warm intro
CarbonOps,Down figure single understand expert great.,LegalTech,Seed,US,Growing ARR,Ex-Stripe engineer,Website
PayOps,Moment sometimes finally most safe pretty value station compare remember ball scientist writer.,Supply Chain SaaS,Series A,France,20 enterprise pilots,AI researcher from Cambridge,Partner referral
PayForge,Record focus list yourself issue such authority result lawyer.,Cybersecurity,Pre-seed,Germany,20 enterprise pilots,Former SAP product lead,Cold inbound
FinStack,He laugh walk although single national summer friend drop.,Supply Chain SaaS,Series A,Netherlands,20 enterprise pilots,Repeat founder,Warm intro
DataPilot,Relationship live law capital television plant clear less her hold.,HR Tech,Series B,Spain,Growing ARR,Former McKinsey consultant,Event
DataBridge,Break relationship skin individual sort country laugh.,Developer Tools,Pre-seed,Netherlands,Growing ARR,AI researcher from Cambridge,Event
PayBridge,Interesting important learn together significant it factor standard.,Supply Chain SaaS,Seed,Canada,20 enterprise pilots,Former McKinsey consultant,Event
FinOps,Build policy rock middle tend actually staff establish foreign then indeed probably.,Supply Chain SaaS,Seed,France,20 enterprise pilots,Former SAP product lead,Website
FlowStack,Cold TV anyone street imagine occur region have build concern second under rather.,Supply Chain SaaS,Series A,Canada,£30k MRR,Ex-Google engineer,Partner referral
CloudPilot,Ago traditional use reason total when sing where cup.,Climate SaaS,Series A,Spain,£30k MRR,Repeat founder,Partner referral
CoreIQ,Much church room red laugh pay consumer citizen.,Climate SaaS,Seed,US,12 customers,Repeat founder,Warm intro
FinOps,Own hope blue water international six instead physical level professional reason positive.,B2B SaaS,Series A,US,20 enterprise pilots,Repeat founder,Cold inbound
CoreAI,Ball raise leg organization hold amount describe happy shake position various.,LegalTech,Series A,US,12 customers,Former McKinsey consultant,Partner referral
LogicPilot,Little truth effect teach apply claim order common mission view address suggest.,LegalTech,Pre-seed,US,£30k MRR,Former SAP product lead,Cold inbound
LogicCloud,Spend reality quality mind hospital article save in reduce.,LegalTech,Seed,France,20 enterprise pilots,Ex-Google engineer,Website
PayLabs,Involve true base agree official north economy yes.,Climate SaaS,Series A,Spain,£30k MRR,Ex-Google engineer,Partner referral
ScaleOps,Yeah perform move economy enough behind pattern move power over song read while.,Enterprise AI,Series B,Germany,20 enterprise pilots,Ex-Stripe engineer,Warm intro
GridLabs,Under together skin performance professor former buy choice message.,HealthTech B2B,Series B,Germany,20 enterprise pilots,Ex-Google engineer,Event
PayWorks,Sign nature break which break entire boy sea.,Climate SaaS,Series B,Spain,Growing ARR,Former McKinsey consultant,Website
ScaleAI,Wall information win evidence federal section year dog.,FinTech SaaS,Series B,Spain,Growing ARR,Former SAP product lead,Partner referral
CoreStack,Involve challenge player while social imagine note last into once music song fear.,B2B SaaS,Pre-seed,France,Growing ARR,Repeat founder,Cold inbound
GridForge,Deep federal information issue difficult now along paper arm dinner third staff.,B2B SaaS,Pre-seed,Netherlands,20 enterprise pilots,Ex-Google engineer,Website
LogicStack,Message person church close hand face firm authority above old.,B2B SaaS,Series B,UK,20 enterprise pilots,Ex-Google engineer,Event
GridOps,Theory among hot protect real business while image tough participant.,HR Tech,Series B,Canada,12 customers,Repeat founder,Event
DataBridge,Light than action federal reveal animal.,FinTech SaaS,Series B,France,12 customers,Repeat founder,Website
CarbonWorks,Shake letter some study mission finish poor moment thought hear family management.,HealthTech B2B,Series B,Spain,£30k MRR,Ex-Stripe engineer,Warm intro
CarbonStack,Those east mind remember response cold.,LegalTech,Series B,Germany,20 enterprise pilots,Ex-Google engineer,Event
PayBridge,Until culture radio person behind bit several standard attention when would among.,HR Tech,Series A,Spain,12 customers,Repeat founder,Event
CloudCloud,Agent job unit family official break early Mr officer front still shoulder.,HealthTech B2B,Series A,Netherlands,£30k MRR,Ex-Google engineer,Website
DataLabs,Young skill take although tough worry talk grow east foreign third.,HealthTech B2B,Series A,Canada,£30k MRR,Repeat founder,Cold inbound
GridIQ,Especially forward always life no television child yes something religious.,HealthTech B2B,Seed,US,£30k MRR,Repeat founder,Cold inbound
CarbonForge,Year indeed wind work bad tonight catch watch run.,HealthTech B2B,Series B,Germany,20 enterprise pilots,Ex-Stripe engineer,Event
DataWorks,Score quality age assume six keep physical defense year note three hour.,B2B SaaS,Series B,France,Growing ARR,Former SAP product lead,Cold inbound
FlowLabs,Help laugh whose act economic record experience successful under cost young new.,Supply Chain SaaS,Series B,Canada,£30k MRR,AI researcher from Cambridge,Partner referral
CloudWorks,Improve economic decade fish state better take north.,Supply Chain SaaS,Series A,US,Growing ARR,Repeat founder,Cold inbound
PayBridge,Avoid player point common science debate enough while tonight reality situation more office.,LegalTech,Series A,Spain,12 customers,AI researcher from Cambridge,Website
CoreCloud,Although make budget example night full.,Cybersecurity,Seed,France,12 customers,Former SAP product lead,Website
GridWorks,Clear need note risk piece all student hour situation page.,LegalTech,Series A,Netherlands,12 customers,Repeat founder,Website
GridOps,Relationship not dream southern sister law support with audience American whether however.,HealthTech B2B,Series B,Netherlands,12 customers,Former SAP product lead,Website
FinPilot,Every ground popular design level measure door practice.,FinTech SaaS,Series A,Netherlands,12 customers,AI researcher from Cambridge,Cold inbound
FlowWorks,Particular total thank international receive pay mean I trade themselves.,Supply Chain SaaS,Series A,Spain,12 customers,Former SAP product lead,Warm intro
CoreIQ,Control can fast amount information focus real if sound challenge father.,Cybersecurity,Seed,UK,20 enterprise pilots,AI researcher from Cambridge,Partner referral
FinOps,Forward success light push hard central look small man.,HR Tech,Series A,US,Growing ARR,Ex-Stripe engineer,Partner referral
FinForge,Operation alone discover cup forget budget usually place have speech other.,Climate SaaS,Series B,US,Growing ARR,Former McKinsey consultant,Partner referral
GridStack,Rule only within share politics lead fear service particular leave boy test.,Enterprise AI,Pre-seed,Canada,£30k MRR,AI researcher from Cambridge,Event
FlowForge,Present management none major ball event low choice pull see lawyer style test.,B2B SaaS,Seed,Netherlands,20 enterprise pilots,Ex-Stripe engineer,Cold inbound
ScaleBridge,Occur available democratic participant media too.,Enterprise AI,Pre-seed,UK,12 customers,Repeat founder,Event
DataStack,Including nature position since plant book center.,Enterprise AI,Series B,US,Growing ARR,Former SAP product lead,Event
ScalePilot,Small water term anything help news commercial safe only.,Cybersecurity,Pre-seed,France,20 enterprise pilots,AI researcher from Cambridge,Cold inbound
GridBridge,Happy adult church particularly man use same east his.,B2B SaaS,Series A,Canada,12 customers,Repeat founder,Partner referral
CarbonIQ,Rich station drop unit home agency upon expect church most general matter.,HR Tech,Series B,Spain,12 customers,Ex-Stripe engineer,Cold inbound
DataBridge,Hand memory very really recently hear become mouth.,Climate SaaS,Series B,France,20 enterprise pilots,Ex-Stripe engineer,Website
LogicWorks,By data fight relate house whatever easy institution enough.,LegalTech,Series A,France,12 customers,Repeat founder,Event
FinPilot,Should open front safe produce knowledge but senior minute ahead success bad guy.,Developer Tools,Seed,UK,£30k MRR,Former McKinsey consultant,Website
CarbonLabs,Threat piece save instead stand place international.,Supply Chain SaaS,Series A,US,£30k MRR,AI researcher from Cambridge,Website
PayIQ,Start much instead future alone discuss others himself seat until.,Cybersecurity,Seed,Germany,Growing ARR,Former SAP product lead,Cold inbound
CoreStack,Account not morning part card same into cost make role her purpose.,HR Tech,Series B,Canada,20 enterprise pilots,Former SAP product lead,Event
DataForge,Few animal defense court learn sign nation hand kind something sing office information.,LegalTech,Series A,UK,£30k MRR,Ex-Stripe engineer,Event
CloudWorks,Allow involve bank seven according be north.,HealthTech B2B,Seed,Germany,12 customers,Repeat founder,Cold inbound
DataWorks,Much purpose Mrs pass herself state test less occur long.,HealthTech B2B,Series B,UK,Growing ARR,Ex-Stripe engineer,Cold inbound
CarbonForge,Inside event space drop understand recent.,HR Tech,Series B,Spain,£30k MRR,Repeat founder,Cold inbound
GridAI,Remain off conference word trip finally story decision only win much get.,HR Tech,Series A,Canada,£30k MRR,AI researcher from Cambridge,Partner referral
CoreOps,State live former call offer present involve.,B2B SaaS,Series B,France,£30k MRR,Repeat founder,Warm intro
DataCloud,They read anyone money oil none people idea.,B2B SaaS,Series A,Netherlands,20 enterprise pilots,Former SAP product lead,Cold inbound
PayLabs,Major including whatever factor growth page bad southern without enjoy generation.,LegalTech,Series B,Netherlands,£30k MRR,AI researcher from Cambridge,Event
CarbonStack,Image student seem remain score today relate clear general way continue others.,FinTech SaaS,Seed,Spain,Growing ARR,Repeat founder,Partner referral
FlowAI,Move light both benefit west into role success against effect story.,B2B SaaS,Series A,Netherlands,Growing ARR,Repeat founder,Cold inbound
FlowWorks,Feel style tend rather big along everyone.,LegalTech,Series A,Germany,12 customers,Former SAP product lead,Warm intro
FinLabs,Recently former color decade allow represent at fly throw already rule long project.,HealthTech B2B,Pre-seed,Germany,20 enterprise pilots,Ex-Stripe engineer,Warm intro
CoreAI,Party remember but specific change bill realize.,LegalTech,Pre-seed,Germany,£30k MRR,Former McKinsey consultant,Cold inbound
FlowForge,Free defense week with truth join sea.,Cybersecurity,Pre-seed,Germany,12 customers,Former SAP product lead,Event
PayIQ,Professional third hard scene out keep drop maintain.,HealthTech B2B,Series A,Germany,12 customers,Former SAP product lead,Event
FlowLabs,Guy hard oil represent treatment also PM.,Enterprise AI,Series A,UK,20 enterprise pilots,AI researcher from Cambridge,Cold inbound
CloudCloud,Difficult law offer wall individual design economic.,B2B SaaS,Series A,US,Growing ARR,Repeat founder,Website
LogicLabs,Behavior present information cover me prepare article environment upon impact indicate rock.,Climate SaaS,Series A,Netherlands,20 enterprise pilots,Repeat founder,Cold inbound
FlowWorks,Must game how option resource too civil her court win whose.,Enterprise AI,Seed,Canada,Growing ARR,Ex-Stripe engineer,Event
LogicLabs,Our near weight water consumer part quite program hour school send.,Supply Chain SaaS,Seed,Netherlands,20 enterprise pilots,Ex-Google engineer,Partner referral
PayOps,Budget few after bill loss during field draw wife.,LegalTech,Series A,UK,20 enterprise pilots,Ex-Stripe engineer,Website
LogicIQ,Workflow automation tooling for enterprise users,,seed,United Kingdom,Strong momentum,Technical founder,Event
FlowCloud,Technology solution modernising procurement operations,,Series Seed,England,Growing quickly,Experienced operator,Partner referral
DataCloud,Technology solution modernising procurement operations,,Seed Stage,EMEA-ish,Strong momentum,Technical founder,Website
GridLabs,Data-driven platform for finance teams,,Series Seed,England,,,Event
ScaleCloud,AI platform improving enterprise workflows,,early growth,England,Strong momentum,,Website
LogicAI,Workflow automation tooling for enterprise users,,Seed Stage,London,Growing quickly,,Event
CoreIQ,Platform transforming operational productivity,,early growth,England,Strong momentum,Experienced operator,Website
FlowLabs,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,,,Cold inbound
ScaleCloud,Technology solution modernising procurement operations,,Series Seed,London,Strong momentum,Technical founder,Event
ScaleBridge,Workflow automation tooling for enterprise users,,seed,United Kingdom,Growing quickly,Technical founder,Warm intro
FinLabs,Technology solution modernising procurement operations,,Seed Stage,United Kingdom,Strong momentum,Experienced operator,Partner referral
CloudCloud,Digital infrastructure platform for operational efficiency,,seed,EMEA-ish,Enterprise interest,Experienced operator,Warm intro
CloudForge,Data-driven platform for finance teams,,seed,United Kingdom,,Technical founder,Website
FinForge,Business optimisation software for mid-market firms,,early growth,London,Growing quickly,Experienced operator,Event
CarbonWorks,Technology solution modernising procurement operations,,Series Seed,England,,,Warm intro
PayLabs,Data-driven platform for finance teams,,Seed Stage,London,,Technical founder,Warm intro
FinOps,Data-driven platform for finance teams,,early growth,EMEA-ish,Enterprise interest,Experienced operator,Warm intro
CarbonOps,Data-driven platform for finance teams,,early growth,England,Growing quickly,Technical founder,Warm intro
FlowWorks,Business optimisation software for mid-market firms,,early growth,England,Growing quickly,Experienced operator,Website
CloudIQ,Platform transforming operational productivity,,seed,London,,Experienced operator,Partner referral
CoreBridge,Business optimisation software for mid-market firms,,early growth,United Kingdom,,Experienced operator,Event
FlowIQ,Business optimisation software for mid-market firms,,early growth,England,Enterprise interest,Technical founder,Partner referral
DataForge,Platform transforming operational productivity,,Series Seed,United Kingdom,Growing quickly,,Partner referral
DataStack,Workflow automation tooling for enterprise users,,early growth,England,Growing quickly,Technical founder,Website
ScaleCloud,Technology solution modernising procurement operations,,Series Seed,EMEA-ish,Enterprise interest,Experienced operator,Event
LogicOps,Business optimisation software for mid-market firms,,Series Seed,London,Growing quickly,Experienced operator,Website
CarbonLabs,Platform transforming operational productivity,,Seed Stage,EMEA-ish,,,Warm intro
DataAI,Digital infrastructure platform for operational efficiency,,early growth,England,,Experienced operator,Partner referral
DataBridge,Data-driven platform for finance teams,,early growth,EMEA-ish,Growing quickly,Experienced operator,Warm intro
PayForge,AI platform improving enterprise workflows,,Series Seed,EMEA-ish,Growing quickly,,Cold inbound
LogicOps,Platform transforming operational productivity,,Seed Stage,London,Enterprise interest,Experienced operator,Partner referral
GridPilot,Digital infrastructure platform for operational efficiency,,early growth,London,Growing quickly,Experienced operator,Cold inbound
GridLabs,Digital infrastructure platform for operational efficiency,,early growth,United Kingdom,,,Partner referral
ScaleIQ,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,Growing quickly,Experienced operator,Website
FinLabs,Digital infrastructure platform for operational efficiency,,early growth,England,Enterprise interest,,Cold inbound
CoreBridge,Digital infrastructure platform for operational efficiency,,Series Seed,London,Enterprise interest,,Partner referral
LogicStack,Digital infrastructure platform for operational efficiency,,early growth,London,,,Website
LogicStack,AI platform improving enterprise workflows,,Seed Stage,London,Growing quickly,Technical founder,Cold inbound
FlowCloud,Business optimisation software for mid-market firms,,Series Seed,United Kingdom,Enterprise interest,Technical founder,Cold inbound
CarbonPilot,Technology solution modernising procurement operations,,Series Seed,London,Enterprise interest,,Warm intro
ScaleIQ,Data-driven platform for finance teams,,early growth,EMEA-ish,Growing quickly,,Event
CoreOps,AI platform improving enterprise workflows,,Seed Stage,England,Strong momentum,Technical founder,Event
FinIQ,Platform transforming operational productivity,,early growth,England,Enterprise interest,Experienced operator,Warm intro
DataPilot,Technology solution modernising procurement operations,,Seed Stage,EMEA-ish,,,Cold inbound
CoreForge,Technology solution modernising procurement operations,,Series Seed,United Kingdom,Enterprise interest,Experienced operator,Website
LogicOps,AI platform improving enterprise workflows,,Seed Stage,England,,,Cold inbound
FlowForge,Data-driven platform for finance teams,,Series Seed,EMEA-ish,Growing quickly,,Cold inbound
PayOps,Digital infrastructure platform for operational efficiency,,seed,United Kingdom,Growing quickly,,Warm intro
CarbonWorks,Workflow automation tooling for enterprise users,,Seed Stage,London,,Technical founder,Cold inbound
ScaleWorks,Business optimisation software for mid-market firms,,early growth,London,Strong momentum,Technical founder,Cold inbound
LogicAI,Platform transforming operational productivity,,Seed Stage,EMEA-ish,Enterprise interest,,Warm intro
FlowWorks,Digital infrastructure platform for operational efficiency,,seed,United Kingdom,Strong momentum,,Website
FlowCloud,AI platform improving enterprise workflows,,Series Seed,EMEA-ish,,Technical founder,Cold inbound
CoreLabs,Workflow automation tooling for enterprise users,,seed,England,,,Event
CarbonPilot,Workflow automation tooling for enterprise users,,seed,London,,Experienced operator,Partner referral
GridOps,Technology solution modernising procurement operations,,Series Seed,London,Enterprise interest,,Event
CarbonIQ,Data-driven platform for finance teams,,early growth,London,Enterprise interest,Technical founder,Event
CarbonForge,Technology solution modernising procurement operations,,early growth,England,Strong momentum,Experienced operator,Website
ScaleIQ,AI platform improving enterprise workflows,,Series Seed,United Kingdom,Enterprise interest,Experienced operator,Partner referral
LogicForge,Workflow automation tooling for enterprise users,,early growth,EMEA-ish,Enterprise interest,,Cold inbound
ScaleBridge,AI platform improving enterprise workflows,,seed,London,,Experienced operator,Website
FlowForge,Digital infrastructure platform for operational efficiency,,Seed Stage,EMEA-ish,Enterprise interest,Technical founder,Event
DataIQ,AI platform improving enterprise workflows,,Series Seed,England,Growing quickly,Technical founder,Cold inbound
CloudWorks,Data-driven platform for finance teams,,seed,London,,Experienced operator,Cold inbound
GridStack,Business optimisation software for mid-market firms,,seed,EMEA-ish,Growing quickly,Experienced operator,Partner referral
CoreStack,Business optimisation software for mid-market firms,,early growth,London,Strong momentum,Experienced operator,Partner referral
FinIQ,Digital infrastructure platform for operational efficiency,,Series Seed,London,,Technical founder,Website
GridIQ,Digital infrastructure platform for operational efficiency,,seed,London,Enterprise interest,Experienced operator,Website
CarbonBridge,Technology solution modernising procurement operations,,Seed Stage,England,Strong momentum,Technical founder,Cold inbound
ScaleBridge,Workflow automation tooling for enterprise users,,Series Seed,EMEA-ish,Enterprise interest,,Warm intro
DataLabs,Workflow automation tooling for enterprise users,,Series Seed,England,Enterprise interest,,Website
CoreAI,Business optimisation software for mid-market firms,,seed,EMEA-ish,,Experienced operator,Event
LogicWorks,Data-driven platform for finance teams,,Seed Stage,EMEA-ish,,,Website
PayForge,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,,Technical founder,Warm intro
FinOps,Platform transforming operational productivity,,early growth,United Kingdom,Growing quickly,Experienced operator,Cold inbound
ScaleAI,Data-driven platform for finance teams,,Seed Stage,London,,Experienced operator,Website
DataStack,Digital infrastructure platform for operational efficiency,,seed,England,Strong momentum,Experienced operator,Cold inbound
GridWorks,Data-driven platform for finance teams,,seed,United Kingdom,Growing quickly,Experienced operator,Cold inbound
DataBridge,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,Growing quickly,Experienced operator,Website
DataLabs,Platform transforming operational productivity,,Seed Stage,EMEA-ish,Growing quickly,Experienced operator,Cold inbound
DataOps,AI platform improving enterprise workflows,,Series Seed,England,,Experienced operator,Cold inbound
CarbonBridge,AI platform improving enterprise workflows,,seed,London,Enterprise interest,,Partner referral
CarbonLabs,Workflow automation tooling for enterprise users,,early growth,London,Growing quickly,Experienced operator,Partner referral
DataIQ,Platform transforming operational productivity,,early growth,England,Enterprise interest,,Partner referral
FlowPilot,Platform transforming operational productivity,,seed,London,,Technical founder,Warm intro
GridWorks,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,,Technical founder,Warm intro
FlowCloud,Data-driven platform for finance teams,,seed,London,Enterprise interest,Technical founder,Event
DataForge,AI platform improving enterprise workflows,,Series Seed,England,Strong momentum,,Event
LogicStack,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,Growing quickly,Experienced operator,Event
DataAI,Digital infrastructure platform for operational efficiency,,Seed Stage,United Kingdom,Growing quickly,,Event
GridForge,Business optimisation software for mid-market firms,,early growth,EMEA-ish,Enterprise interest,Experienced operator,Event
CloudIQ,Technology solution modernising procurement operations,,Series Seed,United Kingdom,,Experienced operator,Event
FlowBridge,Workflow automation tooling for enterprise users,,Series Seed,EMEA-ish,Growing quickly,,Cold inbound
FlowAI,Technology solution modernising procurement operations,,seed,EMEA-ish,Growing quickly,,Event
CoreAI,Digital infrastructure platform for operational efficiency,,Seed Stage,United Kingdom,Growing quickly,Technical founder,Partner referral
FinBridge,Data-driven platform for finance teams,,Series Seed,England,Strong momentum,,Partner referral
GridOps,Business optimisation software for mid-market firms,,seed,England,Enterprise interest,,Event
DataPilot,Platform transforming operational productivity,,seed,EMEA-ish,Enterprise interest,Technical founder,Website
FinCloud,Business optimisation software for mid-market firms,,Seed Stage,England,Strong momentum,,Warm intro
CoreOps,Technology solution modernising procurement operations,,seed,United Kingdom,Growing quickly,Experienced operator,Warm intro
ScaleStack,Data-driven platform for finance teams,,Seed Stage,London,Growing quickly,Technical founder,Cold inbound
FlowStack,Technology solution modernising procurement operations,,early growth,England,,Experienced operator,Event
PayOps,Workflow automation tooling for enterprise users,,seed,London,Strong momentum,Technical founder,Warm intro
LogicOps,Data-driven platform for finance teams,,Series Seed,England,,Experienced operator,Event
ScaleAI,Digital infrastructure platform for operational efficiency,,Seed Stage,England,,Technical founder,Event
FlowCloud,Digital infrastructure platform for operational efficiency,,early growth,London,Strong momentum,Experienced operator,Warm intro
LogicAI,Technology solution modernising procurement operations,,Series Seed,United Kingdom,,Experienced operator,Cold inbound
GridOps,Technology solution modernising procurement operations,,Seed Stage,EMEA-ish,Enterprise interest,Experienced operator,Partner referral
GridOps,AI platform improving enterprise workflows,,Seed Stage,EMEA-ish,,,Warm intro
CoreOps,Workflow automation tooling for enterprise users,,Seed Stage,EMEA-ish,Growing quickly,Technical founder,Event
FinLabs,Platform transforming operational productivity,,Seed Stage,London,,,Website
LogicStack,Digital infrastructure platform for operational efficiency,,early growth,England,Strong momentum,Experienced operator,Partner referral
CarbonIQ,AI platform improving enterprise workflows,,Seed Stage,United Kingdom,Strong momentum,,Cold inbound
PayLabs,AI platform improving enterprise workflows,,Series Seed,London,Enterprise interest,,Cold inbound
GridOps,AI platform improving enterprise workflows,,Seed Stage,England,Growing quickly,Experienced operator,Website
CarbonOps,Platform transforming operational productivity,,Seed Stage,England,Enterprise interest,Technical founder,Warm intro
GridPilot,Business optimisation software for mid-market firms,,Seed Stage,United Kingdom,Enterprise interest,,Event
CloudWorks,AI platform improving enterprise workflows,,early growth,United Kingdom,Strong momentum,Experienced operator,Warm intro
FinWorks,Technology solution modernising procurement operations,,Seed Stage,EMEA-ish,,Technical founder,Warm intro
CoreIQ,Digital infrastructure platform for operational efficiency,,seed,United Kingdom,Growing quickly,Experienced operator,Cold inbound
CarbonOps,Business optimisation software for mid-market firms,,Series Seed,United Kingdom,Growing quickly,,Warm intro
CarbonIQ,Data-driven platform for finance teams,,early growth,EMEA-ish,Growing quickly,,Cold inbound
CarbonStack,Technology solution modernising procurement operations,,Seed Stage,England,,,Partner referral
FinIQ,Workflow automation tooling for enterprise users,,Seed Stage,England,Enterprise interest,,Event
ScaleAI,AI platform improving enterprise workflows,,Series Seed,EMEA-ish,Strong momentum,,Partner referral
CloudWorks,Platform transforming operational productivity,,seed,EMEA-ish,,,Event
ScaleStack,Workflow automation tooling for enterprise users,,Series Seed,EMEA-ish,,Experienced operator,Warm intro
PayIQ,Technology solution modernising procurement operations,,seed,England,Growing quickly,,Event
PayIQ,Technology solution modernising procurement operations,,Seed Stage,United Kingdom,Strong momentum,Technical founder,Partner referral
GridForge,Business optimisation software for mid-market firms,,seed,London,Enterprise interest,,Partner referral
CarbonWorks,Workflow automation tooling for enterprise users,,Series Seed,England,Growing quickly,Technical founder,Website
CoreIQ,Technology solution modernising procurement operations,,Seed Stage,EMEA-ish,,Experienced operator,Cold inbound
FinOps,AI platform improving enterprise workflows,,Seed Stage,London,Growing quickly,Technical founder,Cold inbound
FinStack,Workflow automation tooling for enterprise users,,Seed Stage,London,,Technical founder,Partner referral
PayAI,AI platform improving enterprise workflows,,Seed Stage,London,Growing quickly,Technical founder,Website
DataStack,,B2B SaaS,,US,,,Website
LogicIQ,,B2B SaaS,,UK,,,Website
PayPilot,,B2B SaaS,,France,,,Website
CarbonBridge,,B2B SaaS,,US,,,Website
LogicCloud,,B2B SaaS,,US,,,Website
PayBridge,,B2B SaaS,,US,,,Website
CloudIQ,,B2B SaaS,,Canada,,,Website
PayWorks,,B2B SaaS,,US,,,Website
CoreBridge,,B2B SaaS,,Netherlands,,,Website
GridPilot,,B2B SaaS,,Germany,,,Website
CarbonAI,,B2B SaaS,,US,,,Website
CoreLabs,,B2B SaaS,,Canada,,,Website
CoreAI,,B2B SaaS,,Germany,,,Website
CoreStack,,B2B SaaS,,Canada,,,Website
CoreWorks,,B2B SaaS,,US,,,Website
CoreOps,"AI platform for finance, accounting, and forecasting",FinTech SaaS,Seed,UK,£10k MRR,Ex-Stripe engineer,Warm intro
ScaleBridge,"AI platform for finance, accounting, and forecasting",FinTech SaaS,Seed,UK,£10k MRR,Ex-Stripe engineer,Warm intro
PayOps,"AI platform for finance, accounting, and forecasting",FinTech SaaS,Seed,UK,£10k MRR,Ex-Stripe engineer,Warm intro
FlowStack,"AI platform for finance, accounting, and forecasting",FinTech SaaS,Seed,UK,£10k MRR,Ex-Stripe engineer,Warm intro
PayBridge,"AI platform for finance, accounting, and forecasting",FinTech SaaS,Seed,UK,£10k MRR,Ex-Stripe engineer,Warm intro
DataStack,Germany,Series A,Climate SaaS,,20 pilots,,Event
ScaleAI,Germany,Series A,Climate SaaS,,20 pilots,,Event
GridWorks,Germany,Series A,Climate SaaS,,20 pilots,,Event
FlowOps,Germany,Series A,Climate SaaS,,20 pilots,,Event
PayPilot,Germany,Series A,Climate SaaS,,20 pilots,,Event
DataAI,To write know local her practice.,Enterprise AI,Unknown Stage,Mars,,,Website
FinLabs,Tv response even force themselves realize.,Enterprise AI,Unknown Stage,Mars,,,Website
ScaleLabs,Population type close down cold toward.,Enterprise AI,Unknown Stage,Mars,,,Website
CarbonLabs,Show once subject tax.,Enterprise AI,Unknown Stage,Mars,,,Website
ScaleLabs,Official might hope laugh.,Enterprise AI,Unknown Stage,Mars,,,Website
FinOpsAI,AI forecasting platform for CFOs,B2B SaaS,Seed,UK,£30k MRR,Ex-Stripe engineer,Warm intro
Fin Ops AI,AI forecasting platform for CFOs,B2B SaaS,Seed,UK,£30k MRR,Ex-Stripe engineer,Warm intro
FinOps AI Ltd,AI forecasting platform for CFOs,B2B SaaS,Seed,UK,£30k MRR,Ex-Stripe engineer,Warm intro
FinOps-AI,AI forecasting platform for CFOs,B2B SaaS,Seed,UK,£30k MRR,Ex-Stripe engineer,Warm intro
FINOPSAI,AI forecasting platform for CFOs,B2B SaaS,Seed,UK,£30k MRR,Ex-Stripe engineer,Warm intro
PayForge,Enterprise finance platform,B2B SaaS,Pre-seed,UK,£25m ARR,Student founders,Website
LogicOps,Enterprise finance platform,B2B SaaS,Pre-seed,UK,£25m ARR,Student founders,Website
ScaleIQ,Enterprise finance platform,B2B SaaS,Pre-seed,UK,£25m ARR,Student founders,Website
FlowBridge,Enterprise finance platform,B2B SaaS,Pre-seed,UK,£25m ARR,Student founders,Website
ScaleOps,Enterprise finance platform,B2B SaaS,Pre-seed,UK,£25m ARR,Student founders,Website
,,,,,,,
,,,,,,,
